Name,Artist,Composer,Album,Grouping,Work,Movement Number,Movement Count,Movement Name,Genre,Size,Time,Disc Number,Disc Count,Track Number,Track Count,Year,Date Modified,Date Added,Bit Rate,Sample Rate,Volume Adjustment,Kind,Equalizer,Comments,Plays,Last Played,Skips,Last Skipped,My Rating,Location
Sueño Con Mexico,Pat Metheny,Pat Metheny,Works,,,,,,Jazz,12335577,359,1,1,1,7,1991,2016-11-10 5:57,2017-05-29 13:03,256,44100,,Purchased AAC audio file,,,,,,,,E:\iTunes_library\Music\Pat Metheny\Works\01 Sueño Con Mexico.m4a
(Cross the) Heartland,Pat Metheny Group,Pat Metheny & Lyle Mays,Works,,,,,,Jazz,14239896,412,1,1,2,7,1991,2016-11-10 5:57,2017-05-29 13:03,256,44100,,Purchased AAC audio file,,,,,,,,E:\iTunes_library\Music\Pat Metheny\Works\02 (Cross the) Heartland.m4a
Travels,Pat Metheny Group,Lyle Mays & Pat Metheny,Works,,,,,,Jazz,10490516,301,1,1,3,7,1991,2016-11-10 5:57,2017-05-29 13:03,256,44100,,Purchased AAC audio file,,,,,,,,E:\iTunes_library\Music\Pat Metheny\Works\03 Travels.m4a
James,Pat Metheny Group,Pat Metheny & Lyle Mays,Works,,,,,,Jazz,14368302,405,1,1,4,7,1991,2016-11-10 5:57,2017-05-29 13:03,256,44100,,Purchased AAC audio file,,,,,,,,E:\iTunes_library\Music\Pat Metheny\Works\04 James.m4a
It's for You,Pat Metheny & Lyle Mays,Pat Metheny & Lyle Mays,Works,,,,,,Jazz,17756304,500,1,1,5,7,1991,2016-11-10 5:57,2017-05-29 13:03,256,44100,,Purchased AAC audio file,,,,,,,,E:\iTunes_library\Music\Pat Metheny\Works\05 It's for You.m4a
Every Day (I Thank You),Pat Metheny,Pat Metheny,Works,,,,,,Jazz,26992078,796,1,1,6,7,1991,2016-11-10 5:57,2017-05-29 13:03,256,44100,,Purchased AAC audio file,,,,,,,,E:\iTunes_library\Music\Pat Metheny\Works\06 Every Day (I Thank You).m4a
Goin' Ahead,Pat Metheny,Pat Metheny,Works,,,,,,Jazz,8213736,234,1,1,7,7,1991,2016-11-10 5:57,2017-05-29 13:03,256,44100,,Purchased AAC audio file,,,,,,,,E:\iTunes_library\Music\Pat Metheny\Works\07 Goin' Ahead.m4a
Watercolors,Pat Metheny,Pat Metheny,Watercolors,,,,,,Contemporary Jazz,13317441,389,1,1,1,8,1977,2017-05-13 20:27,2015-09-17 20:42,256,44100,,Purchased AAC audio file,,,1,2017-05-22 10:23,,,,E:\iTunes_library\Music\Pat Metheny\Watercolors\01 Watercolors.m4a
Icefire,Pat Metheny,Pat Metheny,Watercolors,,,,,,Contemporary Jazz,12564008,366,1,1,2,8,1977,2017-05-13 20:27,2015-09-17 20:42,256,44100,,Purchased AAC audio file,,,1,2017-05-22 10:29,,,,E:\iTunes_library\Music\Pat Metheny\Watercolors\02 Icefire.m4a
Oasis,Pat Metheny,Pat Metheny,Watercolors,,,,,,Contemporary Jazz,8468619,242,1,1,3,8,1977,2017-05-13 20:26,2015-09-17 20:42,256,44100,,Purchased AAC audio file,,,1,2017-05-22 10:33,,,,E:\iTunes_library\Music\Pat Metheny\Watercolors\03 Oasis.m4a
Lakes,Pat Metheny,Pat Metheny,Watercolors,,,,,,Contemporary Jazz,9838222,283,1,1,4,8,1977,2017-05-13 20:27,2015-09-17 20:42,256,44100,,Purchased AAC audio file,,,1,2017-05-22 10:38,,,,E:\iTunes_library\Music\Pat Metheny\Watercolors\04 Lakes.m4a
River Quay,Pat Metheny,Pat Metheny,Watercolors,,,,,,Contemporary Jazz,10305023,297,1,1,5,8,1977,2017-05-13 20:27,2015-09-17 20:42,256,44100,,Purchased AAC audio file,,,1,2017-05-22 10:43,,,,E:\iTunes_library\Music\Pat Metheny\Watercolors\05 River Quay.m4a
Suite: I. Florida Greeting Song,Pat Metheny,Pat Metheny,Watercolors,,,,,,Contemporary Jazz,5495778,151,1,1,6,8,1977,2017-05-13 20:27,2015-09-17 20:42,256,44100,,Purchased AAC audio file,,,1,2017-05-22 10:45,,,,E:\iTunes_library\Music\Pat Metheny\Watercolors\06 Suite_ I. Florida Greeting Song.m4a
Suite: II. Legend of the Fountain,Pat Metheny,Pat Metheny,Watercolors,,,,,,Contemporary Jazz,5399947,149,1,1,7,8,1977,2017-05-13 20:27,2015-09-17 20:42,256,44100,,Purchased AAC audio file,,,1,2017-05-22 10:48,,,,E:\iTunes_library\Music\Pat Metheny\Watercolors\07 Suite_ II. Legend of the Fountain.m4a
Sea Song,Pat Metheny,Pat Metheny,Watercolors,,,,,,Contemporary Jazz,20875221,617,1,1,8,8,1977,2017-05-13 20:27,2015-09-17 20:42,256,44100,,Purchased AAC audio file,,,1,2017-05-22 10:58,,,,E:\iTunes_library\Music\Pat Metheny\Watercolors\08 Sea Song.m4a
Ending,Paul Bley,Annette Peacock,Ballads,,,,,,Jazz,40280629,1040,1,1,1,3,1967,2017-05-29 19:44,2013-10-30 21:21,256,44100,,Purchased AAC audio file,,,,,,,,E:\iTunes_library\Music\Paul Bley\Ballads\01 Ending.m4a
Circles,Paul Bley,Annette Peacock,Ballads,,,,,,Jazz,6877271,179,1,1,2,3,1967,2017-05-29 19:43,2013-10-30 21:21,256,44100,,Purchased AAC audio file,,,,,,,,E:\iTunes_library\Music\Paul Bley\Ballads\02 Circles.m4a
So Hard It Turns,Paul Bley,Annette Peacock,Ballads,,,,,,Jazz,28125286,733,1,1,3,3,1967,2017-05-29 19:44,2013-10-30 21:21,256,44100,,Purchased AAC audio file,,,,,,,,E:\iTunes_library\Music\Paul Bley\Ballads\03 So Hard It Turns.m4a
Blues,Paul Bley & Gary Peacock,,Paul Bley With Gary Peacock,,,,,,Jazz,9985528,261,1,1,1,8,1967,2017-05-29 19:44,2009-04-17 6:43,256,44100,,Purchased AAC audio file,,,,,,,,E:\iTunes_library\Music\Paul Bley & Gary Peacock\Paul Bley With Gary Peacock\01 Blues.m4a
Getting Started,Paul Bley & Gary Peacock,Paul Bley,Paul Bley With Gary Peacock,,,,,,Jazz,9952264,262,1,1,2,8,1967,2017-05-29 19:44,2009-04-17 6:43,256,44100,,Purchased AAC audio file,,,,,,,,E:\iTunes_library\Music\Paul Bley & Gary Peacock\Paul Bley With Gary Peacock\02 Getting Started.m4a
When Will the Blues Leave,Paul Bley & Gary Peacock,,Paul Bley With Gary Peacock,,,,,,Jazz,8837900,230,1,1,3,8,1967,2017-05-29 19:44,2009-04-17 6:43,256,44100,,Purchased AAC audio file,,,,,,,,E:\iTunes_library\Music\Paul Bley & Gary Peacock\Paul Bley With Gary Peacock\03 When Will the Blues Leave.m4a
Long Ago and Far Away,Paul Bley & Gary Peacock,,Paul Bley With Gary Peacock,,,,,,Jazz,9704011,254,1,1,4,8,1967,2017-05-29 19:44,2009-04-17 6:43,256,44100,,Purchased AAC audio file,,,,,,,,E:\iTunes_library\Music\Paul Bley & Gary Peacock\Paul Bley With Gary Peacock\04 Long Ago and Far Away.m4a
Moor,Paul Bley & Gary Peacock,Gary Peacock,Paul Bley With Gary Peacock,,,,,,Jazz,7953954,205,1,1,5,8,1967,2017-05-29 19:44,2009-04-17 6:43,256,44100,,Purchased AAC audio file,,,,,,,,E:\iTunes_library\Music\Paul Bley & Gary Peacock\Paul Bley With Gary Peacock\05 Moor.m4a
Gary,Paul Bley & Gary Peacock,,Paul Bley With Gary Peacock,,,,,,Jazz,10268303,278,1,1,6,8,1967,2017-05-29 19:44,2009-04-17 6:43,256,44100,,Purchased AAC audio file,,,,,,,,E:\iTunes_library\Music\Paul Bley & Gary Peacock\Paul Bley With Gary Peacock\06 Gary.m4a
